name,accuracy,precision,recall,f1
naive_bayes__bag_of_words__3-gram__none__lemmatize__content_features__sentiment_features__none,0.631,0.631,0.663,0.612
naive_bayes__bag_of_words__3-gram__none__lemmatize__content_features__none__none,0.633,0.633,0.665,0.614
naive_bayes__bag_of_words__3-gram__none__lemmatize__none__sentiment_features__none,0.63,0.631,0.663,0.612
naive_bayes__bag_of_words__3-gram__none__lemmatize__none__none__none,0.629,0.63,0.661,0.61
naive_bayes__bag_of_words__3-gram__none__none__content_features__sentiment_features__none,0.633,0.627,0.658,0.612
naive_bayes__bag_of_words__3-gram__none__none__content_features__none__none,0.63,0.626,0.657,0.61
naive_bayes__bag_of_words__3-gram__none__none__none__sentiment_features__none,0.629,0.627,0.657,0.609
naive_bayes__bag_of_words__3-gram__none__none__none__none__none,0.628,0.626,0.656,0.608
naive_bayes__tfi_df__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.585,0.501,0.501,0.501
naive_bayes__tfi_df__1-gram__standard__lemmatize__content_features__none__none,0.585,0.5,0.5,0.5
naive_bayes__tfi_df__1-gram__standard__lemmatize__none__sentiment_features__none,0.602,0.512,0.512,0.512
naive_bayes__tfi_df__1-gram__standard__lemmatize__none__none__none,0.601,0.511,0.511,0.511
naive_bayes__tfi_df__1-gram__standard__none__content_features__sentiment_features__none,0.585,0.5,0.5,0.5
naive_bayes__tfi_df__1-gram__standard__none__content_features__none__none,0.588,0.504,0.504,0.503
naive_bayes__tfi_df__1-gram__standard__none__none__sentiment_features__none,0.599,0.508,0.509,0.508
naive_bayes__tfi_df__1-gram__standard__none__none__none__none,0.601,0.512,0.513,0.512
naive_bayes__tfi_df__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.59,0.52,0.523,0.519
naive_bayes__tfi_df__1-gram__finegrained__lemmatize__content_features__none__none,0.586,0.516,0.518,0.515
naive_bayes__tfi_df__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.588,0.516,0.518,0.515
naive_bayes__tfi_df__1-gram__finegrained__lemmatize__none__none__none,0.59,0.518,0.52,0.517
naive_bayes__tfi_df__1-gram__finegrained__none__content_features__sentiment_features__none,0.59,0.52,0.523,0.519
naive_bayes__tfi_df__1-gram__finegrained__none__content_features__none__none,0.585,0.517,0.519,0.516
naive_bayes__tfi_df__1-gram__finegrained__none__none__sentiment_features__none,0.588,0.518,0.52,0.517
naive_bayes__tfi_df__1-gram__finegrained__none__none__none__none,0.591,0.522,0.525,0.521
naive_bayes__tfi_df__1-gram__none__lemmatize__content_features__sentiment_features__none,0.705,0.564,0.523,0.498
naive_bayes__tfi_df__1-gram__none__lemmatize__content_features__none__none,0.708,0.562,0.518,0.484
naive_bayes__tfi_df__1-gram__none__lemmatize__none__sentiment_features__none,0.721,0.36,0.5,0.419
naive_bayes__tfi_df__1-gram__none__lemmatize__none__none__none,0.721,0.36,0.5,0.419
naive_bayes__tfi_df__1-gram__none__none__content_features__sentiment_features__none,0.703,0.559,0.521,0.494
naive_bayes__tfi_df__1-gram__none__none__content_features__none__none,0.709,0.566,0.519,0.484
naive_bayes__tfi_df__1-gram__none__none__none__sentiment_features__none,0.721,0.36,0.5,0.419
naive_bayes__tfi_df__1-gram__none__none__none__none__none,0.721,0.36,0.5,0.419
naive_bayes__tfi_df__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.587,0.531,0.536,0.529
naive_bayes__tfi_df__2-gram__standard__lemmatize__content_features__none__none,0.585,0.53,0.535,0.527
naive_bayes__tfi_df__2-gram__standard__lemmatize__none__sentiment_features__none,0.59,0.532,0.537,0.53
naive_bayes__tfi_df__2-gram__standard__lemmatize__none__none__none,0.591,0.534,0.539,0.531
naive_bayes__tfi_df__2-gram__standard__none__content_features__sentiment_features__none,0.59,0.533,0.538,0.53
naive_bayes__tfi_df__2-gram__standard__none__content_features__none__none,0.591,0.535,0.54,0.532
naive_bayes__tfi_df__2-gram__standard__none__none__sentiment_features__none,0.588,0.529,0.533,0.527
naive_bayes__tfi_df__2-gram__standard__none__none__none__none,0.591,0.531,0.536,0.53
naive_bayes__tfi_df__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.576,0.542,0.551,0.534
naive_bayes__tfi_df__2-gram__finegrained__lemmatize__content_features__none__none,0.58,0.548,0.558,0.54
naive_bayes__tfi_df__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.583,0.55,0.561,0.542
naive_bayes__tfi_df__2-gram__finegrained__lemmatize__none__none__none,0.581,0.55,0.56,0.541
naive_bayes__tfi_df__2-gram__finegrained__none__content_features__sentiment_features__none,0.576,0.543,0.552,0.535
naive_bayes__tfi_df__2-gram__finegrained__none__content_features__none__none,0.577,0.545,0.555,0.536
naive_bayes__tfi_df__2-gram__finegrained__none__none__sentiment_features__none,0.577,0.547,0.557,0.538
naive_bayes__tfi_df__2-gram__finegrained__none__none__none__none,0.58,0.55,0.561,0.541
naive_bayes__tfi_df__2-gram__none__lemmatize__content_features__sentiment_features__none,0.723,0.649,0.512,0.45
naive_bayes__tfi_df__2-gram__none__lemmatize__content_features__none__none,0.722,0.632,0.51,0.446
naive_bayes__tfi_df__2-gram__none__lemmatize__none__sentiment_features__none,0.72,0.6,0.511,0.452
naive_bayes__tfi_df__2-gram__none__lemmatize__none__none__none,0.72,0.6,0.511,0.452
naive_bayes__tfi_df__2-gram__none__none__content_features__sentiment_features__none,0.722,0.625,0.516,0.464
naive_bayes__tfi_df__2-gram__none__none__content_features__none__none,0.721,0.613,0.514,0.46
naive_bayes__tfi_df__2-gram__none__none__none__sentiment_features__none,0.719,0.596,0.515,0.465
naive_bayes__tfi_df__2-gram__none__none__none__none__none,0.72,0.604,0.516,0.466
naive_bayes__tfi_df__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.642,0.562,0.564,0.563
naive_bayes__tfi_df__3-gram__standard__lemmatize__content_features__none__none,0.642,0.562,0.564,0.563
naive_bayes__tfi_df__3-gram__standard__lemmatize__none__sentiment_features__none,0.65,0.573,0.576,0.574
naive_bayes__tfi_df__3-gram__standard__lemmatize__none__none__none,0.652,0.576,0.579,0.577
naive_bayes__tfi_df__3-gram__standard__none__content_features__sentiment_features__none,0.648,0.566,0.567,0.566
naive_bayes__tfi_df__3-gram__standard__none__content_features__none__none,0.651,0.569,0.57,0.57
naive_bayes__tfi_df__3-gram__standard__none__none__sentiment_features__none,0.652,0.573,0.575,0.574
naive_bayes__tfi_df__3-gram__standard__none__none__none__none,0.655,0.575,0.577,0.576
naive_bayes__tfi_df__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.623,0.579,0.593,0.577
naive_bayes__tfi_df__3-gram__finegrained__lemmatize__content_features__none__none,0.627,0.583,0.598,0.581
naive_bayes__tfi_df__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.626,0.582,0.597,0.58
naive_bayes__tfi_df__3-gram__finegrained__lemmatize__none__none__none,0.621,0.578,0.593,0.576
naive_bayes__tfi_df__3-gram__finegrained__none__content_features__sentiment_features__none,0.622,0.575,0.589,0.574
naive_bayes__tfi_df__3-gram__finegrained__none__content_features__none__none,0.623,0.577,0.591,0.576
naive_bayes__tfi_df__3-gram__finegrained__none__none__sentiment_features__none,0.621,0.576,0.59,0.575
naive_bayes__tfi_df__3-gram__finegrained__none__none__none__none,0.622,0.577,0.591,0.575
naive_bayes__tfi_df__3-gram__none__lemmatize__content_features__sentiment_features__none,0.734,0.761,0.528,0.48
naive_bayes__tfi_df__3-gram__none__lemmatize__content_features__none__none,0.735,0.767,0.53,0.483
naive_bayes__tfi_df__3-gram__none__lemmatize__none__sentiment_features__none,0.727,0.665,0.523,0.476
naive_bayes__tfi_df__3-gram__none__lemmatize__none__none__none,0.722,0.623,0.52,0.473
naive_bayes__tfi_df__3-gram__none__none__content_features__sentiment_features__none,0.729,0.686,0.526,0.48
naive_bayes__tfi_df__3-gram__none__none__content_features__none__none,0.727,0.662,0.524,0.479
naive_bayes__tfi_df__3-gram__none__none__none__sentiment_features__none,0.716,0.582,0.515,0.467
naive_bayes__tfi_df__3-gram__none__none__none__none__none,0.713,0.569,0.515,0.472
naive_bayes__both__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.497,0.549,0.558,0.491
naive_bayes__both__1-gram__standard__lemmatize__content_features__none__none,0.497,0.55,0.559,0.491
naive_bayes__both__1-gram__standard__lemmatize__none__sentiment_features__none,0.493,0.551,0.559,0.488
naive_bayes__both__1-gram__standard__lemmatize__none__none__none,0.493,0.551,0.559,0.488
naive_bayes__both__1-gram__standard__none__content_features__sentiment_features__none,0.469,0.533,0.538,0.465
naive_bayes__both__1-gram__standard__none__content_features__none__none,0.469,0.533,0.538,0.465
naive_bayes__both__1-gram__standard__none__none__sentiment_features__none,0.47,0.541,0.547,0.467
naive_bayes__both__1-gram__standard__none__none__none__none,0.469,0.541,0.546,0.466
naive_bayes__both__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.485,0.547,0.555,0.481
naive_bayes__both__1-gram__finegrained__lemmatize__content_features__none__none,0.488,0.552,0.56,0.485
naive_bayes__both__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.488,0.554,0.562,0.485
naive_bayes__both__1-gram__finegrained__lemmatize__none__none__none,0.488,0.554,0.562,0.485
naive_bayes__both__1-gram__finegrained__none__content_features__sentiment_features__none,0.463,0.539,0.543,0.461
naive_bayes__both__1-gram__finegrained__none__content_features__none__none,0.464,0.541,0.545,0.462
naive_bayes__both__1-gram__finegrained__none__none__sentiment_features__none,0.467,0.545,0.55,0.466
naive_bayes__both__1-gram__finegrained__none__none__none__none,0.467,0.545,0.55,0.466
naive_bayes__both__1-gram__none__lemmatize__content_features__sentiment_features__none,0.455,0.532,0.535,0.453
naive_bayes__both__1-gram__none__lemmatize__content_features__none__none,0.453,0.531,0.534,0.452
naive_bayes__both__1-gram__none__lemmatize__none__sentiment_features__none,0.457,0.541,0.544,0.456
naive_bayes__both__1-gram__none__lemmatize__none__none__none,0.458,0.543,0.546,0.457
naive_bayes__both__1-gram__none__none__content_features__sentiment_features__none,0.442,0.529,0.531,0.441
naive_bayes__both__1-gram__none__none__content_features__none__none,0.443,0.531,0.533,0.442
naive_bayes__both__1-gram__none__none__none__sentiment_features__none,0.44,0.533,0.535,0.439
naive_bayes__both__1-gram__none__none__none__none__none,0.44,0.533,0.535,0.439
naive_bayes__both__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.551,0.568,0.584,0.535
naive_bayes__both__2-gram__standard__lemmatize__content_features__none__none,0.55,0.567,0.583,0.534
naive_bayes__both__2-gram__standard__lemmatize__none__sentiment_features__none,0.552,0.571,0.587,0.537
naive_bayes__both__2-gram__standard__lemmatize__none__none__none,0.551,0.57,0.587,0.536
naive_bayes__both__2-gram__standard__none__content_features__sentiment_features__none,0.542,0.565,0.58,0.528
naive_bayes__both__2-gram__standard__none__content_features__none__none,0.54,0.563,0.577,0.526
naive_bayes__both__2-gram__standard__none__none__sentiment_features__none,0.537,0.564,0.578,0.525
naive_bayes__both__2-gram__standard__none__none__none__none,0.537,0.564,0.578,0.525
naive_bayes__both__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.534,0.57,0.585,0.524
naive_bayes__both__2-gram__finegrained__lemmatize__content_features__none__none,0.534,0.57,0.585,0.524
naive_bayes__both__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.528,0.567,0.581,0.519
naive_bayes__both__2-gram__finegrained__lemmatize__none__none__none,0.528,0.567,0.581,0.519
naive_bayes__both__2-gram__finegrained__none__content_features__sentiment_features__none,0.513,0.56,0.571,0.506
naive_bayes__both__2-gram__finegrained__none__content_features__none__none,0.513,0.56,0.571,0.506
naive_bayes__both__2-gram__finegrained__none__none__sentiment_features__none,0.512,0.559,0.571,0.505
naive_bayes__both__2-gram__finegrained__none__none__none__none,0.514,0.562,0.574,0.507
naive_bayes__both__2-gram__none__lemmatize__content_features__sentiment_features__none,0.531,0.573,0.588,0.523
naive_bayes__both__2-gram__none__lemmatize__content_features__none__none,0.534,0.576,0.591,0.526
naive_bayes__both__2-gram__none__lemmatize__none__sentiment_features__none,0.535,0.579,0.594,0.527
naive_bayes__both__2-gram__none__lemmatize__none__none__none,0.534,0.578,0.594,0.526
naive_bayes__both__2-gram__none__none__content_features__sentiment_features__none,0.516,0.57,0.583,0.511
naive_bayes__both__2-gram__none__none__content_features__none__none,0.515,0.57,0.582,0.51
naive_bayes__both__2-gram__none__none__none__sentiment_features__none,0.515,0.573,0.586,0.51
naive_bayes__both__2-gram__none__none__none__none__none,0.515,0.572,0.585,0.51
naive_bayes__both__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.66,0.629,0.656,0.627
naive_bayes__both__3-gram__standard__lemmatize__content_features__none__none,0.66,0.629,0.656,0.627
naive_bayes__both__3-gram__standard__lemmatize__none__sentiment_features__none,0.658,0.626,0.653,0.624
naive_bayes__both__3-gram__standard__lemmatize__none__none__none,0.658,0.626,0.653,0.624
naive_bayes__both__3-gram__standard__none__content_features__sentiment_features__none,0.657,0.625,0.651,0.623
naive_bayes__both__3-gram__standard__none__content_features__none__none,0.657,0.625,0.651,0.623
naive_bayes__both__3-gram__standard__none__none__sentiment_features__none,0.656,0.625,0.651,0.622
naive_bayes__both__3-gram__standard__none__none__none__none,0.656,0.625,0.651,0.622
naive_bayes__both__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.627,0.616,0.644,0.603
naive_bayes__both__3-gram__finegrained__lemmatize__content_features__none__none,0.627,0.616,0.644,0.603
naive_bayes__both__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.623,0.614,0.642,0.6
naive_bayes__both__3-gram__finegrained__lemmatize__none__none__none,0.624,0.615,0.642,0.601
naive_bayes__both__3-gram__finegrained__none__content_features__sentiment_features__none,0.629,0.618,0.646,0.605
naive_bayes__both__3-gram__finegrained__none__content_features__none__none,0.626,0.616,0.643,0.602
naive_bayes__both__3-gram__finegrained__none__none__sentiment_features__none,0.623,0.613,0.64,0.599
naive_bayes__both__3-gram__finegrained__none__none__none__none,0.623,0.613,0.64,0.599
naive_bayes__both__3-gram__none__lemmatize__content_features__sentiment_features__none,0.664,0.642,0.675,0.637
naive_bayes__both__3-gram__none__lemmatize__content_features__none__none,0.664,0.641,0.674,0.636
naive_bayes__both__3-gram__none__lemmatize__none__sentiment_features__none,0.658,0.639,0.671,0.632
naive_bayes__both__3-gram__none__lemmatize__none__none__none,0.659,0.64,0.672,0.633
naive_bayes__both__3-gram__none__none__content_features__sentiment_features__none,0.678,0.649,0.681,0.647
naive_bayes__both__3-gram__none__none__content_features__none__none,0.678,0.649,0.681,0.647
naive_bayes__both__3-gram__none__none__none__sentiment_features__none,0.673,0.646,0.678,0.643
naive_bayes__both__3-gram__none__none__none__none__none,0.672,0.645,0.677,0.642
decision_trees__bag_of_words__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.61,0.545,0.55,0.545
decision_trees__bag_of_words__1-gram__standard__lemmatize__content_features__none__none,0.602,0.539,0.544,0.538
decision_trees__bag_of_words__1-gram__standard__lemmatize__none__sentiment_features__none,0.586,0.515,0.516,0.514
decision_trees__bag_of_words__1-gram__standard__lemmatize__none__none__none,0.607,0.541,0.546,0.541
decision_trees__bag_of_words__1-gram__standard__none__content_features__sentiment_features__none,0.572,0.508,0.509,0.505
decision_trees__bag_of_words__1-gram__standard__none__content_features__none__none,0.609,0.539,0.543,0.539
decision_trees__bag_of_words__1-gram__standard__none__none__sentiment_features__none,0.583,0.5,0.5,0.499
decision_trees__bag_of_words__1-gram__standard__none__none__none__none,0.588,0.523,0.526,0.521
decision_trees__bag_of_words__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.621,0.547,0.551,0.548
decision_trees__bag_of_words__1-gram__finegrained__lemmatize__content_features__none__none,0.566,0.494,0.494,0.492
decision_trees__bag_of_words__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.583,0.518,0.52,0.516
decision_trees__bag_of_words__1-gram__finegrained__lemmatize__none__none__none,0.619,0.544,0.548,0.545
decision_trees__bag_of_words__1-gram__finegrained__none__content_features__sentiment_features__none,0.601,0.519,0.52,0.519
decision_trees__bag_of_words__1-gram__finegrained__none__content_features__none__none,0.565,0.506,0.507,0.502
decision_trees__bag_of_words__1-gram__finegrained__none__none__sentiment_features__none,0.594,0.513,0.514,0.513
decision_trees__bag_of_words__1-gram__finegrained__none__none__none__none,0.616,0.549,0.554,0.549
decision_trees__bag_of_words__1-gram__none__lemmatize__content_features__sentiment_features__none,0.615,0.54,0.543,0.54
decision_trees__bag_of_words__1-gram__none__lemmatize__content_features__none__none,0.583,0.516,0.518,0.514
decision_trees__bag_of_words__1-gram__none__lemmatize__none__sentiment_features__none,0.591,0.528,0.532,0.527
decision_trees__bag_of_words__1-gram__none__lemmatize__none__none__none,0.614,0.55,0.556,0.55
decision_trees__bag_of_words__1-gram__none__none__content_features__sentiment_features__none,0.606,0.531,0.534,0.531
decision_trees__bag_of_words__1-gram__none__none__content_features__none__none,0.601,0.545,0.552,0.544
decision_trees__bag_of_words__1-gram__none__none__none__sentiment_features__none,0.607,0.53,0.532,0.53
decision_trees__bag_of_words__1-gram__none__none__none__none__none,0.59,0.518,0.52,0.517
decision_trees__bag_of_words__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.64,0.577,0.585,0.578
decision_trees__bag_of_words__2-gram__standard__lemmatize__content_features__none__none,0.619,0.563,0.572,0.562
decision_trees__bag_of_words__2-gram__standard__lemmatize__none__sentiment_features__none,0.628,0.571,0.581,0.572
decision_trees__bag_of_words__2-gram__standard__lemmatize__none__none__none,0.629,0.574,0.586,0.575
decision_trees__bag_of_words__2-gram__standard__none__content_features__sentiment_features__none,0.598,0.526,0.528,0.525
decision_trees__bag_of_words__2-gram__standard__none__content_features__none__none,0.641,0.579,0.589,0.581
decision_trees__bag_of_words__2-gram__standard__none__none__sentiment_features__none,0.617,0.554,0.561,0.555
decision_trees__bag_of_words__2-gram__standard__none__none__none__none,0.626,0.561,0.568,0.562
decision_trees__bag_of_words__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.626,0.565,0.573,0.565
decision_trees__bag_of_words__2-gram__finegrained__lemmatize__content_features__none__none,0.613,0.554,0.562,0.554
decision_trees__bag_of_words__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.629,0.575,0.587,0.576
decision_trees__bag_of_words__2-gram__finegrained__lemmatize__none__none__none,0.616,0.561,0.57,0.561
decision_trees__bag_of_words__2-gram__finegrained__none__content_features__sentiment_features__none,0.619,0.565,0.575,0.564
decision_trees__bag_of_words__2-gram__finegrained__none__content_features__none__none,0.622,0.566,0.576,0.566
decision_trees__bag_of_words__2-gram__finegrained__none__none__sentiment_features__none,0.602,0.556,0.566,0.553
decision_trees__bag_of_words__2-gram__finegrained__none__none__none__none,0.623,0.555,0.56,0.555
decision_trees__bag_of_words__2-gram__none__lemmatize__content_features__sentiment_features__none,0.631,0.569,0.577,0.57
decision_trees__bag_of_words__2-gram__none__lemmatize__content_features__none__none,0.649,0.59,0.602,0.592
decision_trees__bag_of_words__2-gram__none__lemmatize__none__sentiment_features__none,0.626,0.572,0.583,0.572
decision_trees__bag_of_words__2-gram__none__lemmatize__none__none__none,0.63,0.578,0.59,0.578
decision_trees__bag_of_words__2-gram__none__none__content_features__sentiment_features__none,0.65,0.58,0.586,0.582
decision_trees__bag_of_words__2-gram__none__none__content_features__none__none,0.62,0.551,0.556,0.552
decision_trees__bag_of_words__2-gram__none__none__none__sentiment_features__none,0.65,0.578,0.584,0.58
decision_trees__bag_of_words__2-gram__none__none__none__none__none,0.624,0.563,0.571,0.564
decision_trees__bag_of_words__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.72,0.661,0.674,0.666
decision_trees__bag_of_words__3-gram__standard__lemmatize__content_features__none__none,0.667,0.607,0.619,0.61
decision_trees__bag_of_words__3-gram__standard__lemmatize__none__sentiment_features__none,0.705,0.642,0.651,0.645
decision_trees__bag_of_words__3-gram__standard__lemmatize__none__none__none,0.658,0.603,0.617,0.606
decision_trees__bag_of_words__3-gram__standard__none__content_features__sentiment_features__none,0.686,0.633,0.651,0.637
decision_trees__bag_of_words__3-gram__standard__none__content_features__none__none,0.692,0.628,0.638,0.632
decision_trees__bag_of_words__3-gram__standard__none__none__sentiment_features__none,0.688,0.627,0.64,0.631
decision_trees__bag_of_words__3-gram__standard__none__none__none__none,0.672,0.614,0.627,0.617
decision_trees__bag_of_words__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.652,0.592,0.603,0.594
decision_trees__bag_of_words__3-gram__finegrained__lemmatize__content_features__none__none,0.703,0.644,0.658,0.649
decision_trees__bag_of_words__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.658,0.601,0.615,0.604
decision_trees__bag_of_words__3-gram__finegrained__lemmatize__none__none__none,0.678,0.616,0.627,0.619
decision_trees__bag_of_words__3-gram__finegrained__none__content_features__sentiment_features__none,0.663,0.601,0.612,0.604
decision_trees__bag_of_words__3-gram__finegrained__none__content_features__none__none,0.662,0.606,0.62,0.608
